book-imbalance-0.2-5-1|mid_price|timestamp
-127265.06102109216|34249500.0|2023-06-06 01:58:04
-144399.74368771873|34249500.0|2023-06-06 01:58:04
-81763.28517816887|34249500.0|2023-06-06 01:58:05
-66699.2573848784|34249500.0|2023-06-06 01:58:07
-66654.5639939189|34249500.0|2023-06-06 01:58:08
-70898.38192934915|34249500.0|2023-06-06 01:58:09
-90724.8099279385|34249500.0|2023-06-06 01:58:10
-74447.27411608584|34244500.0|2023-06-06 01:58:11
-37747.742081849276|34244500.0|2023-06-06 01:58:11
-59704.70155589506|34244500.0|2023-06-06 01:58:12
-85552.19479042552|34244500.0|2023-06-06 01:58:13
-74234.08003518582|34244000.0|2023-06-06 01:58:15
-74234.08003518582|34244000.0|2023-06-06 01:58:15
-67621.2471317105|34244000.0|2023-06-06 01:58:16
-89297.56807938479|34244500.0|2023-06-06 01:58:17
-125670.3797784131|34248000.0|2023-06-06 01:58:19
-174118.92594562174|34249500.0|2023-06-06 01:58:19
-143314.5702428393|34249500.0|2023-06-06 01:58:21
-146372.48187152372|34249500.0|2023-06-06 01:58:21
-146059.04596505128|34249500.0|2023-06-06 01:58:22
-146044.91509374604|34249500.0|2023-06-06 01:58:23
-143090.10150841513|34249500.0|2023-06-06 01:58:24
-143773.86602443643|34249500.0|2023-06-06 01:58:26
-133649.0104458902|34249500.0|2023-06-06 01:58:27
-139385.21844918205|34249500.0|2023-06-06 01:58:27
-128008.9977870807|34244500.0|2023-06-06 01:58:29
-88608.29704057984|34244500.0|2023-06-06 01:58:29
-89051.31995848045|34244500.0|2023-06-06 01:58:30
-88949.43568945788|34244500.0|2023-06-06 01:58:32
-91012.86132938229|34244500.0|2023-06-06 01:58:33
-90987.21273397542|34244500.0|2023-06-06 01:58:33
-119130.52896573915|34244500.0|2023-06-06 01:58:35
-117398.93786302768|34244500.0|2023-06-06 01:58:36
-117492.88657955006|34244500.0|2023-06-06 01:58:37
-117243.10130970925|34244500.0|2023-06-06 01:58:37
-167271.25740165263|34249500.0|2023-06-06 01:58:38
-167271.25740165263|34249500.0|2023-06-06 01:58:38
-158994.16749676465|34249500.0|2023-06-06 01:58:41
-93914.93557726778|34249500.0|2023-06-06 01:58:42
-66660.54280412346|34249500.0|2023-06-06 01:58:43
-40769.82778435424|34249500.0|2023-06-06 01:58:44
-86743.88686873243|34249500.0|2023-06-06 01:58:44
-116163.89300075806|34249500.0|2023-06-06 01:58:46
-100181.12508915066|34253000.0|2023-06-06 01:58:47
-158692.38617155663|34254000.0|2023-06-06 01:58:47
-120302.99538313337|34256500.0|2023-06-06 01:58:49
-153553.45218408442|34256500.0|2023-06-06 01:58:50
-172008.07174174598|34256500.0|2023-06-06 01:58:51
-195904.87530956455|34256500.0|2023-06-06 01:58:52
-211265.68802344016|34256500.0|2023-06-06 01:58:52
-194295.35609642527|34256500.0|2023-06-06 01:58:54
-193449.37142275795|34256500.0|2023-06-06 01:58:55
-147715.67113533468|34256500.0|2023-06-06 01:58:56
-125722.2696726434|34256500.0|2023-06-06 01:58:56
-151378.4660605155|34257500.0|2023-06-06 01:58:58
-117481.09701819233|34257500.0|2023-06-06 01:58:58
-117093.93346850574|34257500.0|2023-06-06 01:58:59
-121085.96588454358|34257500.0|2023-06-06 01:59:01
-120643.8659855362|34257500.0|2023-06-06 01:59:02
-86139.17158405445|34257500.0|2023-06-06 01:59:03
-82812.57218350544|34258500.0|2023-06-06 01:59:04
-38079.620631941405|34259500.0|2023-06-06 01:59:05
-122391.87618065104|34259500.0|2023-06-06 01:59:06
-59133.28520752862|34257500.0|2023-06-06 01:59:07
-90767.85212636142|34257500.0|2023-06-06 01:59:08
-92940.79681539423|34257500.0|2023-06-06 01:59:09
-115136.98264120333|34257500.0|2023-06-06 01:59:10
-100097.6441917859|34257500.0|2023-06-06 01:59:10
-78144.22160911039|34257500.0|2023-06-06 01:59:11
-78141.68244840615|34257500.0|2023-06-06 01:59:13
-89371.8220268637|34258000.0|2023-06-06 01:59:13
-92474.81130602545|34258000.0|2023-06-06 01:59:14
-131128.59942996092|34258000.0|2023-06-06 01:59:16
-94634.77607317455|34258000.0|2023-06-06 01:59:16
-151637.8954648681|34267000.0|2023-06-06 01:59:18
-99687.20340342596|34267000.0|2023-06-06 01:59:18
-97603.2499654401|34269000.0|2023-06-06 01:59:19
-98966.37056669741|34269000.0|2023-06-06 01:59:21
-82261.0633433044|34269000.0|2023-06-06 01:59:22
-72451.3721472323|34269000.0|2023-06-06 01:59:22
-34385.07141044289|34269000.0|2023-06-06 01:59:24
-19214.297199923545|34269000.0|2023-06-06 01:59:24
-37305.69576369375|34269500.0|2023-06-06 01:59:26
115925.07528287619|34269500.0|2023-06-06 01:59:26
195651.4820565395|34270500.0|2023-06-06 01:59:28
134799.76609581112|34269500.0|2023-06-06 01:59:29
120159.09614964054|34270000.0|2023-06-06 01:59:29
198835.83624303044|34279000.0|2023-06-06 01:59:31
203571.01804856808|34281000.0|2023-06-06 01:59:32
164920.86908302232|34281000.0|2023-06-06 01:59:32
131999.02434738353|34281000.0|2023-06-06 01:59:34
131999.02434738353|34281000.0|2023-06-06 01:59:34
135618.447529798|34281000.0|2023-06-06 01:59:36
135618.447529798|34281000.0|2023-06-06 01:59:36
116205.98070753514|34281000.0|2023-06-06 01:59:37
49550.95639083981|34291000.0|2023-06-06 01:59:39
49782.34958416373|34291000.0|2023-06-06 01:59:39
9523.505586136132|34291000.0|2023-06-06 01:59:41
9721.256746788324|34291000.0|2023-06-06 01:59:42
21056.848933568595|34291000.0|2023-06-06 01:59:43
22822.565630126745|34291000.0|2023-06-06 01:59:43
45577.13348989263|34302500.0|2023-06-06 01:59:44
39658.64685480371|34302500.0|2023-06-06 01:59:45
22503.792216885835|34302500.0|2023-06-06 01:59:46
17623.062921812387|34302500.0|2023-06-06 01:59:47
16217.468359663337|34302500.0|2023-06-06 01:59:49
63386.848294276|34302500.0|2023-06-06 01:59:50
123205.64120399431|34313500.0|2023-06-06 01:59:51
111988.7902866371|34313500.0|2023-06-06 01:59:52
114160.29621602074|34313500.0|2023-06-06 01:59:52
47367.544174855946|34313500.0|2023-06-06 01:59:53
36204.972079522166|34323500.0|2023-06-06 01:59:55
12194.880565534531|34323500.0|2023-06-06 01:59:55
-34404.90963679254|34323500.0|2023-06-06 01:59:57
87511.17687889934|34323500.0|2023-06-06 01:59:58
85506.91772489696|34323500.0|2023-06-06 01:59:59
77045.28474831507|34323500.0|2023-06-06 02:00:00
96702.83004578277|34323500.0|2023-06-06 02:00:01
106873.41258670166|34323500.0|2023-06-06 02:00:02
171954.78972189725|34324500.0|2023-06-06 02:00:03
44943.76062231511|34319000.0|2023-06-06 02:00:04
-3942.703492100537|34319000.0|2023-06-06 02:00:04
-12261.650813473016|34316000.0|2023-06-06 02:00:06
-67149.13292764276|34313500.0|2023-06-06 02:00:06
-177117.85164270923|34292000.0|2023-06-06 02:00:08
-172689.780003497|34291000.0|2023-06-06 02:00:08
-195446.1153591141|34291000.0|2023-06-06 02:00:09
-162274.31035789178|34291000.0|2023-06-06 02:00:11
-167159.05956275016|34291000.0|2023-06-06 02:00:11
-104775.71629240364|34294500.0|2023-06-06 02:00:12
-116754.2367456153|34297500.0|2023-06-06 02:00:13
-61288.97734752968|34304500.0|2023-06-06 02:00:15
-104465.37324189693|34304500.0|2023-06-06 02:00:16
-138958.76541309507|34303000.0|2023-06-06 02:00:16
-120399.81740766465|34303500.0|2023-06-06 02:00:17
-5418.30077817291|34303000.0|2023-06-06 02:00:19
-34929.39512998164|34303000.0|2023-06-06 02:00:20
-64052.34710603729|34303000.0|2023-06-06 02:00:20
-46038.32428498939|34303000.0|2023-06-06 02:00:22
-51218.22857685387|34299000.0|2023-06-06 02:00:23
-17711.77732558921|34299500.0|2023-06-06 02:00:24
-17633.514628919213|34299500.0|2023-06-06 02:00:25
-22733.48487962559|34299500.0|2023-06-06 02:00:26
-14808.28875848353|34299500.0|2023-06-06 02:00:27
-19121.96911147386|34299500.0|2023-06-06 02:00:27
-19399.852565303445|34299500.0|2023-06-06 02:00:28
-88423.7587487124|34299500.0|2023-06-06 02:00:29
-84273.20800632573|34299500.0|2023-06-06 02:00:30
-84895.80882698894|34299500.0|2023-06-06 02:00:32
-84556.15981352255|34299500.0|2023-06-06 02:00:32
-96658.17492696903|34299500.0|2023-06-06 02:00:33
-93339.32640753016|34299500.0|2023-06-06 02:00:35
-89712.41969891191|34299500.0|2023-06-06 02:00:36
-84513.9456736438|34299500.0|2023-06-06 02:00:36
-83950.9939578224|34299000.0|2023-06-06 02:00:38
-69983.85120342001|34299500.0|2023-06-06 02:00:38
-69610.203921628|34299500.0|2023-06-06 02:00:40
-69124.98589182645|34299500.0|2023-06-06 02:00:41
-67418.4513158463|34299500.0|2023-06-06 02:00:42
-43972.16413172781|34304000.0|2023-06-06 02:00:42
-41177.96519383714|34304000.0|2023-06-06 02:00:43
-20371.076384382694|34304000.0|2023-06-06 02:00:45
24059.71774282381|34303000.0|2023-06-06 02:00:45
-4906.298559738696|34299000.0|2023-06-06 02:00:46
-685.3122322879732|34299000.0|2023-06-06 02:00:47
307.07884703576565|34299000.0|2023-06-06 02:00:49
307.07884703576565|34299000.0|2023-06-06 02:00:49
-73626.93492037356|34299000.0|2023-06-06 02:00:50
-100272.47657579332|34299000.0|2023-06-06 02:00:51
-130999.5867799025|34299500.0|2023-06-06 02:00:52
-100898.04964382388|34299000.0|2023-06-06 02:00:54
-97059.06022792682|34299000.0|2023-06-06 02:00:55
-124775.07869126127|34299500.0|2023-06-06 02:00:56
-124770.75403258912|34299500.0|2023-06-06 02:00:56
-122941.3389593482|34299500.0|2023-06-06 02:00:58
-122941.3389593482|34299500.0|2023-06-06 02:00:58
-122716.58141847365|34299500.0|2023-06-06 02:01:00
-43633.02394096404|34299500.0|2023-06-06 02:01:01
-3030.5864160425963|34299500.0|2023-06-06 02:01:02
-56244.35302130878|34299500.0|2023-06-06 02:01:03
13300.679140780867|34299500.0|2023-06-06 02:01:03
1985.0295342683792|34299500.0|2023-06-06 02:01:05
52238.08511537612|34299500.0|2023-06-06 02:01:05
54794.336166705194|34299500.0|2023-06-06 02:01:07
64479.51940559894|34299500.0|2023-06-06 02:01:07
39959.064763380586|34299500.0|2023-06-06 02:01:08
